,dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category,day_name,cat_weeks
0,2011-01-01,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16.0,Night,Saturday,Weekend
1,2011-01-01,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40.0,Night,Saturday,Weekend
2,2011-01-01,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32.0,Night,Saturday,Weekend
3,2011-01-01,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13.0,Night,Saturday,Weekend
4,2011-01-01,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1.0,Night,Saturday,Weekend
5,2011-01-01,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1.0,Night,Saturday,Weekend
6,2011-01-01,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2.0,Morning,Saturday,Weekend
7,2011-01-01,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3.0,Morning,Saturday,Weekend
8,2011-01-01,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8.0,Morning,Saturday,Weekend
9,2011-01-01,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14.0,Morning,Saturday,Weekend
10,2011-01-01,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36.0,Morning,Saturday,Weekend
11,2011-01-01,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56.0,Morning,Saturday,Weekend
12,2011-01-01,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84.0,Day,Saturday,Weekend
13,2011-01-01,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94.0,Day,Saturday,Weekend
14,2011-01-01,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106.0,Day,Saturday,Weekend
